ID,LabelIdx,AreaName,Experiment,ObjectSlide,Cellline,Replicate,Staining,Condition,Section,NucMaskSum,Tuj1MaskSum,MAP2MaskSum,THMaskSum,Tuj1ByNuc,MAP2ByNuc,THByNuc,NucMaskHigh,NucMaskAlive,THFragmentation,SkelTH,Nodes,Links,THPercent,THByTuj1,THByMap2,THByNucAlive,Tuj1ByNucAlive,MAP2ByNucAlive,NucAliveByNuc,NucDeadByNuc
12_2,2,K7_Rep1_CTRL_NAC_Center1,TOX12,1,K7,1,181123,CTRL_NAC,Center,30254331,31179438,19311653,17236646,1.030577672,0.638310363,0.56972491,19834245,10420086,0.414745769,754204,44700,95797,42.65805574,0.552820933,0.892551559,1.654175023,2.992243826,1.853310328,0.344416342,0.655583658
12_3,3,K7_Rep2_6OHDA_NAC_Center1,TOX12,1,K7,2,181123,6OHDA_NAC,Center,24887711,35848171,25998206,16527869,1.440396467,1.044620214,0.664097594,18289485,6598226,0.368531116,857875,37870,83428,41.875,0.461051946,0.635731135,2.504895861,5.433001386,3.940181194,0.265119842,0.734880158
12_4,4,K7_Rep1_CTRL_NAC_Center1,TOX12,1,K7,1,181123,CTRL_NAC,Center,9599876,8558918,403176,8120358,0.891565474,0.041998042,0.845881551,19586,9580290,0.374256406,402400,20128,41875,22.7938977,0.948759878,20.14097565,0.847610876,0.893388196,0.042083904,0.997959765,0.002040235
12_5,5,K7_Rep2_6OHDA_Center1,TOX12,1,K7,2,181123,6OHDA,Center,36461007,71202973,34507724,28085796,1.952852619,0.946428166,0.770296772,20780727,15680280,0.354421146,820009,53069,106188,59.17460317,0.394446957,0.813898825,1.791153984,4.540924843,2.200708406,0.430056142,0.569943858
12_6,6,K7_Rep2_6OHDA_NAC_Border2,TOX12,1,K7,2,181123,6OHDA_NAC,Border,17021862,19577602,12747403,7715930,1.150144561,0.74888417,0.453295298,12179776,4842086,0.43123188,397810,22650,49032,30.7628866,0.394120281,0.605294271,1.593513622,4.043216498,2.63262631,0.284462769,0.715537231
12_7,7,K7_Rep1_6OHDA_NAC_Border1,TOX12,1,K7,1,181123,6OHDA_NAC,Border,8601460,11774689,9241945,3222302,1.368917486,1.074462359,0.37462268,4871513,3729947,0.459024325,137686,8563,18142,40.86471409,0.273663449,0.34866059,0.863900211,3.156797938,2.477768451,0.433641149,0.566358851
12_8,8,K7_Rep2_6OHDA_Center1,TOX12,1,K7,2,181123,6OHDA,Center,15556539,12830836,3161026,5545537,0.824787313,0.203195968,0.35647627,87864,15468675,0.507579699,286007,17128,36794,29.10222936,0.432203872,1.754347164,0.3585011,0.829472208,0.204350146,0.994351957,0.005648043
12_9,9,K7_Rep1_6OHDA_NAC_Border1,TOX12,1,K7,1,181123,6OHDA_NAC,Border,15779998,23105233,16910352,7763121,1.464210135,1.071632075,0.491959568,10404032,5375966,0.424100694,330175,19440,40947,41.38090825,0.33598973,0.459075068,1.444042057,4.297875582,3.145546679,0.340682299,0.659317701
12_10,10,K7_Rep2_CTRL_Center1,TOX12,1,K7,2,181123,CTRL,Center,44174026,84756421,26984018,46769983,1.918693601,0.610857113,1.058766593,27912867,16261159,0.347161982,2588463,118566,265909,47.72182254,0.551816399,1.733247547,2.876177707,5.212200496,1.659415421,0.368115847,0.631884153
12_11,11,K7_Rep1_6OHDA_Border1,TOX12,1,K7,1,181123,6OHDA,Border,26275165,29078938,15950148,14311094,1.106708102,0.607042734,0.544662384,15806825,10468340,0.383672415,607027,33744,71336,53.14043754,0.492146378,0.897238947,1.367083415,2.77779839,1.5236559,0.39841196,0.60158804
12_12,12,K7_Rep2_CTRL_NAC_Border2,TOX12,1,K7,2,181123,CTRL_NAC,Border,13076730,14486435,7821908,5795475,1.107802562,0.598154737,0.443189926,9742494,3334236,0.431832939,251008,15595,33070,40.02911208,0.400062196,0.740928556,1.738171803,4.344753941,2.34593712,0.254974753,0.745025247
12_13,1,T12.9_Rep1_6OHDA_NAC_Center,TOX12,2,T129,1,181123,6OHDA_NAC,Center,16494499,21772427,11912610,6668863,1.319981104,0.722217146,0.404308309,6894020,9600479,0.417868833,290058,18604,39023,47.75280899,0.306298558,0.559815439,0.69463857,2.26784799,1.240834963,0.582041261,0.417958739
12_14,2,T12.9_Rep1_6OHDA_NAC_Center,TOX12,2,T129,1,181123,6OHDA_NAC,Center,10917578,13461907,9598903,3370475,1.23304885,0.879215427,0.308720029,7761598,3155980,0.408277765,149595,9113,19398,31.53846154,0.250371288,0.35113127,1.067964626,4.265523546,3.041496778,0.289073272,0.710926728
12_15,3,T12.9_Rep1_6OHDA_NAC_Border,TOX12,2,T129,1,181123,6OHDA_NAC,Border,9733425,12642711,8191779,2461058,1.298896432,0.841613204,0.252846043,5709261,4024164,0.461064306,117321,7394,15843,37.3015873,0.194662205,0.300430224,0.611570006,3.141698748,2.035647404,0.413437613,0.586562387
12_16,4,T12.9_Rep1_6OHDA_Center,TOX12,2,T129,1,181123,6OHDA,Center,6590585,7509685,8486712,1385624,1.139456513,1.287702382,0.210242945,3667640,2922945,0.402237548,72858,4188,8736,12.84263959,0.184511601,0.163269827,0.474050658,2.569218716,2.903479881,0.443503118,0.556496882
12_17,5,T12.9_Rep1_6OHDA_NAC_Border,TOX12,2,T129,1,181123,6OHDA_NAC,Border,15312492,17678200,11479394,4370887,1.154495297,0.749675102,0.285445831,11312435,4000057,0.428492203,192199,11707,24954,43.90934844,0.247247288,0.380759385,1.092706179,4.419487022,2.869807605,0.261228349,0.738771651
12_18,6,T12.9_Rep1_CTRL_NAC_Center,TOX12,2,T129,1,181123,CTRL_NAC,Center,6926616,6191151,6538801,885507,0.893820446,0.944010899,0.127841214,3805790,3120826,0.503678684,63473,3030,6576,11.26984127,0.143027847,0.135423451,0.283741227,1.983818066,2.095214857,0.450555654,0.549444346
12_19,7,T12.9_Rep1_6OHDA_Border,TOX12,2,T129,1,181123,6OHDA,Border,11346679,40314686,13150773,3161542,3.552994317,1.158997536,0.278631483,5974028,5372651,0.410981414,133479,8602,18157,18.56353591,0.078421596,0.240407313,0.588451027,7.503685983,2.447725155,0.473499867,0.526500133
12_20,8,T12.9_Rep1_CTRL_NAC_Center,TOX12,2,T129,1,181123,CTRL_NAC,Center,11484048,15216728,10357182,4803160,1.325031731,0.901875541,0.418246249,6552268,4931780,0.300062667,201890,10566,23007,16.42670157,0.315649987,0.463751627,0.973920167,3.08544339,2.100090028,0.429446133,0.570553867
12_22,10,T12.9_Rep1_CTRL_Center,TOX12,2,T129,1,181123,CTRL,Center,27129203,30777921,17470942,14405795,1.13449411,0.643990242,0.531006937,9864917,17264286,0.374886356,587328,33273,69503,42.59664478,0.468056143,0.824557428,0.8344275,1.782750877,1.011970145,0.636372768,0.363627232
12_23,11,T12.9_Rep1_CTRL_NAC_Border,TOX12,2,T129,1,181123,CTRL_NAC,Border,5751111,18091731,8643032,5313479,3.145780181,1.502845624,0.92390479,2300993,3450118,0.394730082,373662,17859,39920,42.23826715,0.293696551,0.614770257,1.540086165,5.243800647,2.505140984,0.59990461,0.40009539
12_24,12,T12.9_Rep1_CTRL_Center,TOX12,2,T129,1,181123,CTRL,Center,5681051,12914673,5204480,3783391,2.273289397,0.916112177,0.665966737,433421,5247630,0.436445242,224802,7942,17428,41.34284959,0.292952907,0.726948898,0.720971372,2.461048702,0.99177724,0.923707603,0.076292397
12_25,13,T12.9_Rep1_CTRL_Border,TOX12,2,T129,1,181123,CTRL,Border,5845330,22552635,13276975,6964869,3.858231272,2.271381599,1.191527082,1651949,4193381,0.37944059,330957,18178,38995,55.68693694,0.308827283,0.52458252,1.660919673,5.378150709,3.166174264,0.717389951,0.282610049
12_26,2,T12.9_Rep2_6OHDA_NAC_Border,TOX12,3,T129,2,181123,6OHDA_NAC,Border,5679166,8880285,5832205,1145585,1.563660051,1.026947443,0.201717118,2682868,2996298,0.484193665,65204,3703,7996,42.19653179,0.12900318,0.196423994,0.382333466,2.96375227,1.946470278,0.527594721,0.472405279
12_27,3,T12.9_Rep2_6OHDA_NAC_Center,TOX12,3,T129,2,181123,6OHDA_NAC,Center,20596131,24473724,14111761,6073674,1.18826803,0.685165626,0.294893929,11143925,9452206,0.394874338,262382,15216,31855,35.97811218,0.248171222,0.43039802,0.642566825,2.589207641,1.492959527,0.458931146,0.541068854
12_28,4,T12.9_Rep2_6OHDA_NAC_Border,TOX12,3,T129,2,181123,6OHDA_NAC,Border,8446465,12182636,8292107,1807825,1.442335462,0.981725136,0.214033326,5255176,3191289,0.484899811,102832,6083,13381,38.24701195,0.148393582,0.218017568,0.566487397,3.817465607,2.598356651,0.377825398,0.622174602
12_29,5,T12.9_Rep2_6OHDA_Center,TOX12,3,T129,2,181123,6OHDA,Center,31081968,44010330,19846746,9603453,1.415944126,0.638529259,0.308971845,7761439,23320529,0.445192162,474472,27141,58771,26.67723191,0.218209066,0.483880481,0.411802537,1.88719261,0.851041844,0.750291262,0.249708738
12_30,6,T12.9_Rep2_6OHDA_Border,TOX12,3,T129,2,181123,6OHDA,Border,12726328,35109401,17304776,1471411,2.758800575,1.359761905,0.115619447,3525359,9200969,0.547529548,72326,4667,10048,17.54897874,0.041909317,0.085029185,0.159919135,3.815837332,1.88075582,0.722986945,0.277013055
12_31,7,T12.9_Rep2_CTRL_NAC_Center,TOX12,3,T129,2,181123,CTRL_NAC,Center,32898052,45802687,16594319,12986090,1.392261372,0.504416462,0.394737354,15222417,17675635,0.40070845,738735,39431,84655,28.85682575,0.283522449,0.782562394,0.73468874,2.591289478,0.938824489,0.537285156,0.462714844
12_32,8,T12.9_Rep2_6OHDA_Border,TOX12,3,T129,2,181123,6OHDA,Border,26586738,41721374,18696232,6529027,1.569255093,0.703216468,0.245574579,9972642,16614096,0.472937392,330706,18955,41869,17.99888206,0.156491179,0.349216195,0.392981177,2.511203378,1.12532346,0.624901633,0.375098367
12_33,9,T12.9_Rep2_CTRL_NAC_Center,TOX12,3,T129,2,181123,CTRL_NAC,Center,27987734,51385606,25293071,12338504,1.836004515,0.903719858,0.440853983,15799793,12187941,0.362008149,827510,31012,68301,30.20465773,0.240115958,0.487821507,1.01235344,4.216102293,2.07525381,0.435474376,0.564525624
12_34,10,T12.9_Rep2_CTRL_NAC_Border,TOX12,3,T129,2,181123,CTRL_NAC,Border,5716132,19639204,8510828,6923585,3.435750609,1.488913832,1.211236025,734714,4981418,0.337451479,479815,18058,40630,20.27348395,0.352538983,0.813503105,1.389882359,3.94249268,1.708515126,0.871466579,0.128533421
12_35,11,T12.9_Rep2_CTRL_Center,TOX12,3,T129,2,181123,CTRL,Center,33464312,61955671,29158042,12826548,1.851395331,0.87131754,0.383290354,20970175,12494137,0.402438832,611494,33192,69109,27.29868646,0.207027828,0.439897439,1.026605359,4.958779546,2.333737976,0.373357056,0.626642944
12_36,12,T12.9_Rep2_CTRL_Border,TOX12,3,T129,2,181123,CTRL,Border,7564875,12574022,8620709,3893307,1.662158595,1.139570581,0.514655827,4602681,2962194,0.40752476,205501,12185,25669,22.30215827,0.309631,0.451622599,1.314332215,4.244834066,2.910244569,0.391572101,0.608427899
12_37,1,34769_Rep1_6OHDA_NAC_Border,TOX12,4,34769,1,181123,6OHDA_NAC,Border,3879162,10503809,5969239,229718,2.707752087,1.538796008,0.05921846,7197,3871965,0.597323675,25022,943,2512,0.157915515,0.021869971,0.038483633,0.059328532,2.71278511,1.541656239,0.998144702,0.001855298
12_38,2,34769_Rep1_6OHDA_NAC_Border,TOX12,4,34769,1,181123,6OHDA_NAC,Border,9810162,14115470,12602219,510932,1.43886207,1.284608654,0.052081913,45653,9764509,0.358225752,48611,1522,4182,0.446609825,0.036196598,0.040543019,0.052325416,1.445589328,1.290614715,0.995346356,0.004653644
12_40,4,34769_Rep1_6OHDA_Center,TOX12,4,34769,1,181123,6OHDA,Center,23289848,32641555,14742227,1287237,1.401535768,0.632989404,0.055270305,9632325,13657523,0.354475516,38391,2309,5295,1.897198323,0.039435529,0.087316319,0.094251132,2.390005494,1.079421722,0.586415291,0.413584709
12_41,5,34769_Rep1_6OHDA_Border,TOX12,4,34769,1,181123,6OHDA,Border,10164696,37989682,12658073,211812,3.737414479,1.245297744,0.020838006,1287625,8877071,0.5403471,15554,918,2304,1.650540694,0.005575514,0.016733353,0.023860573,4.279528912,1.425929003,0.873323806,0.126676194
12_42,6,34769_Rep1_CTRL_NAC_Center,TOX12,4,34769,1,181123,CTRL_NAC,Center,21003297,41921664,18329331,2621755,1.995956349,0.872688274,0.124825879,9569525,11433772,0.40698883,158500,7524,19128,5.952380952,0.062539383,0.143036044,0.22929922,3.66647717,1.603086978,0.544379866,0.455620134
12_43,7,34769_Rep1_CTRL_NAC_Border,TOX12,4,34769,1,181123,CTRL_NAC,Border,11039812,59060847,23592041,2926526,5.349805504,2.136996626,0.265088391,2708451,8331361,0.448846175,264442,11902,31406,8.7276551,0.049551033,0.124047173,0.351266258,7.08897946,2.83171513,0.754665116,0.245334884
12_44,8,34769_Rep1_CTRL_Center,TOX12,4,34769,1,181123,CTRL,Center,23031357,22377587,13284718,3598256,0.971613917,0.576810042,0.156232913,4301294,18730063,0.418468558,145291,8847,21138,15.8527423,0.160797319,0.270856784,0.19211126,1.194741683,0.709272467,0.813241834,0.186758166
12_45,9,34769_Rep1_CTRL_Border,TOX12,4,34769,1,181123,CTRL,Border,16198364,21358238,13963709,2864654,1.31854291,0.862044402,0.176848353,4583258,11615106,0.420762158,118445,7126,16699,20.02989537,0.134124079,0.205149935,0.246631757,1.83883281,1.202202459,0.717054265,0.282945735
12_46,10,34769_Rep1_CTRL_Center,TOX12,4,34769,1,181123,CTRL,Center,29090659,20781659,21165882,3090718,0.71437567,0.727583449,0.106244345,12546694,16543965,0.410956289,140992,7245,17956,8.81397238,0.148723353,0.146023586,0.186818456,1.256147423,1.279371783,0.568703686,0.431296314
12_47,11,34769_Rep1_CTRL_Border,TOX12,4,34769,1,181123,CTRL,Border,20743250,51685484,26100276,5321762,2.491677244,1.258253938,0.256553915,9468886,11274364,0.381732967,229030,12168,29223,19.78984238,0.102964345,0.203896771,0.472023256,4.584336997,2.31501094,0.543519651,0.456480349
12_48,1,34769_X6OHDA_NAC_Center2,TOX12,5,34769,2,181123,6OHDA_NAC,Center,20533018,21675465,17418419,6038538,1.055639507,0.848312654,0.294089159,14899563,5633455,0.435695031,280211,18084,38507,29.3554007,0.278588625,0.346675436,1.071906672,3.847632581,3.091960262,0.274360788,0.725639212
12_49,2,34769_X6OHDA_NAC_Border2,TOX12,5,34769,2,181123,6OHDA_NAC,Border,16080671,26566271,16897540,5234804,1.652062342,1.050798191,0.325533928,8844827,7235844,0.464524555,356318,19852,44393,32.80802292,0.197047,0.309796811,0.723454513,3.671482,2.335254878,0.449971522,0.550028478
12_50,3,34769_X6OHDA_Center2,TOX12,5,34769,2,181123,6OHDA,Center,11767185,15750468,6294904,1441560,1.338507723,0.534954112,0.122506785,7228299,4538886,0.441579261,59078,3332,7189,6.853582555,0.091524899,0.229004287,0.317602161,3.470117557,1.386883037,0.385724028,0.614275972
12_51,4,34769_X6OHDA_Border2,TOX12,5,34769,2,181123,6OHDA,Border,10837583,32815008,14533399,1859185,3.02788989,1.341018472,0.171549782,3829886,7007697,0.491338947,94852,6054,13140,19.43430657,0.056656546,0.127924995,0.265306134,4.682709312,2.073919435,0.646610688,0.353389312
12_52,5,34769_X6OHDA_Center2,TOX12,5,34769,2,181123,6OHDA,Center,31765056,37369568,18824300,7604897,1.176436396,0.59261032,0.239410785,20780200,10984856,0.420056051,359592,19849,43247,14.16666667,0.203505082,0.403993615,0.692307391,3.401916966,1.713659241,0.345815729,0.654184271
12_53,6,34769_X6OHDA_Border2.2,TOX12,5,34769,2,181123,6OHDA,Border,17044223,31597023,18323217,3358928,1.853825956,1.075039736,0.197071348,8758535,8285688,0.505591665,171291,11547,24224,19.38278289,0.106305205,0.183315408,0.405389148,3.813445908,2.211429757,0.486128819,0.513871181
12_54,7,34769_CTRL_NAC_Center2,TOX12,5,34769,2,181123,CTRL_NAC,Center,21136636,53308328,22805670,11314529,2.522081943,1.078964032,0.535304152,9024539,12112097,0.42193166,700912,33072,72775,39.74358974,0.212246931,0.496127893,0.934151122,4.401246787,1.882883699,0.573038065,0.426961935
12_55,8,34769_CTRL_NAC_Border2,TOX12,5,34769,2,181123,CTRL_NAC,Border,12681039,40190635,17538238,8393215,3.169348742,1.383028473,0.661871239,6243953,6437086,0.438739863,495836,23854,52051,50.79264426,0.208835093,0.478566604,1.303884242,6.243606968,2.724561704,0.507615031,0.492384969
14_1,1,34769_6-OHDA_NAC,TOX14,1,34769,1,180702,6OHDA_NAC,Border,5498119,26079913,4510648,5315173,4.743424615,0.820398394,0.966725711,2128183,3369936,0.425403651,399924,18796,43369,34.71026965,0.203803326,1.178361291,1.577232624,7.73899356,1.338496636,0.612925257,0.387074743
14_2,2,K7_6-OHDA_NAC,TOX14,1,K7,1,180702,6OHDA_NAC,Border,13181400,40833900,8967603,13171172,3.097842414,0.6803225,0.999224058,6200663,6980737,0.337651198,756298,28847,64398,46.41826292,0.322554838,1.468750568,1.886788172,5.849511305,1.284621237,0.529589953,0.470410047
14_3,3,T129_6-OHDA_NAC,TOX14,1,T129,1,180702,6OHDA_NAC,Border,12192545,20518153,8327821,2511768,1.682844148,0.683025652,0.206008508,6375531,5817014,0.485170207,121512,7854,16980,37.11583924,0.122416867,0.30161167,0.431796795,3.527265535,1.43163159,0.477095963,0.522904037
14_4,4,K7_6-OHDA,TOX14,1,K7,1,180702,6OHDA,Center,23086383,66421749,21568632,14798337,2.877096382,0.93425774,0.640998505,12727275,10359108,0.392934017,454536,28538,57900,61.23595506,0.222793546,0.686104571,1.428533905,6.411917802,2.082093555,0.44871074,0.55128926
14_5,5,34769_6-OHDA,TOX14,1,34769,1,180702,6OHDA,Center,32677331,51130280,17289421,7529380,1.564701842,0.529095262,0.230416003,17177095,15500236,0.451114434,324237,20202,43028,28.57142857,0.147258728,0.435490581,0.485759056,3.298677517,1.115429533,0.474342167,0.525657833
14_6,6,T129_6-OHDA,TOX14,1,T129,1,180702,6OHDA,Center,28946885,43636210,21927808,9473688,1.507457884,0.757518745,0.327278324,17645525,11301360,0.411355641,414021,25008,53822,52.75754422,0.217106114,0.432039901,0.838278579,3.8611468,1.940280462,0.390417138,0.609582862
